start_year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,studio,domestic_gross_imdb,foreign_gross,id,release_date_tn,production_budget,domestic_gross_tn,worldwide_gross,budget_wiki
2010,* Cemetery,tt1598691,* Cemetery,80.0,"Comedy,Horror,Thriller",5.2,17.0,en,* Cemetery,2010-01-01,,,,,,,,,Unknown
2010,127 Hours,tt1542344,127 Hours,94.0,"Adventure,Biography,Drama",7.6,323949.0,en,127 Hours,2010-11-05,FoxS,18300000.0,42400000,6.0,"Nov 5, 2010","$18,000,000","$18,335,230","$60,217,171",18000000
2010,12th & Delaware,tt1548865,12th & Delaware,81.0,"Documentary,Drama",7.5,407.0,en,12th & Delaware,2010-04-01,,,,,,,,,Unknown
2010,13,tt0798817,13,91.0,"Drama,Thriller",6.1,38418.0,en,13,2010-03-12,,,,,,,,,Unknown
2010,15 Till Midnight,tt1568798,15 Till Midnight,97.0,"Drama,Mystery,Sci-Fi",2.8,244.0,en,15 Till Midnight,2010-01-01,,,,,,,,,Unknown
2010,2001 Maniacs: Field of Screams,tt0858411,2001 Maniacs: Field of Screams,84.0,"Comedy,Horror",3.3,2141.0,en,2001 Maniacs: Field of Screams,2010-07-20,,,,,,,,,Unknown
2010,2012: Time for Change,tt1506940,2012: Time for Change,85.0,"Animation,Documentary,News",7.0,317.0,en,2012: Time for Change,2010-10-08,,,,,,,,,Unknown
2010,3 Backyards,tt1314190,3 Backyards,88.0,Drama,5.0,611.0,en,3 Backyards,2010-01-24,,,,,,,,,Unknown
2010,3 Magic Words,tt1820364,3 Magic Words,71.0,Documentary,7.3,57.0,en,3 Magic Words,2010-12-30,,,,,,,,,Unknown
2010,4192: The Crowning of the Hit King,tt1663128,4192: The Crowning of the Hit King,115.0,"Biography,Documentary,History",7.5,128.0,en,4192: The Crowning of the Hit King,2010-10-22,,,,,,,,,Unknown
2010,80 Waves,tt1824903,80 Waves,60.0,Documentary,6.4,19.0,en,80 Waves,2010-06-21,,,,,,,,,Unknown
2010,8: The Mormon Proposition,tt1484522,8: The Mormon Proposition,80.0,Documentary,7.0,1190.0,en,8: The Mormon Proposition,2010-01-01,,,,38.0,"Jun 18, 2010","$2,500,000","$100,280","$100,280",2500000
2010,A Christmas Snow,tt1606191,A Christmas Snow,110.0,"Comedy,Drama,Family",6.2,552.0,en,A Christmas Snow,2010-10-08,,,,,,,,,Unknown
2010,A Course in Miracles: The Movie,tt1928099,A Course in Miracles: The Movie,61.0,Documentary,,,en,A Course in Miracles: The Movie,2010-07-09,,,,,,,,,Unknown
2010,A Drummer's Dream,tt1663970,A Drummer's Dream,84.0,Documentary,7.3,140.0,en,A Drummer's Dream,2010-01-01,,,,,,,,,Unknown
