Year,title,tconst,original_title_imdb,runtime_minutes,genres,averagerating,numvotes,original_language,original_title_mvdb,release_date_imdb,genre1,genre2,genre3,release_date_tn,domestic_gross,worldwide_gross,budget
2010,127 Hours,tt1542344,127 Hours,94.0,"Adventure,Biography,Drama",7.6,323949.0,en,127 Hours,2010-11-05,Adventure,Biography,Drama,"Nov 5, 2010","$18,335,230","$60,217,171",18000000.0
2010,8: The Mormon Proposition,tt1484522,8: The Mormon Proposition,80.0,Documentary,7.0,1190.0,en,8: The Mormon Proposition,2010-01-01,Documentary,,,"Jun 18, 2010","$100,280","$100,280",2500000.0
2010,A Nightmare on Elm Street,tt1179056,A Nightmare on Elm Street,95.0,"Crime,Drama,Horror",5.2,85497.0,en,A Nightmare on Elm Street,2010-04-30,Crime,Drama,Horror,"Apr 30, 2010","$63,075,011","$117,729,621",35000000.0
2010,Alice in Wonderland,tt1014759,Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813.0,en,Alice in Wonderland,2010-03-05,Adventure,Family,Fantasy,"Mar 5, 2010","$334,191,110","$1,025,491,110",200000000.0
2010,Alice in Wonderland,tt1014759,Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813.0,en,Alice in Wonderland,2010-01-01,Adventure,Family,Fantasy,"Mar 5, 2010","$334,191,110","$1,025,491,110",200000000.0
2010,Alice in Wonderland,tt2049386,Alice in Wonderland,99.0,"Fantasy,Musical",6.5,6.0,en,Alice in Wonderland,2010-03-05,Fantasy,Musical,,"Mar 5, 2010","$334,191,110","$1,025,491,110",200000000.0
2010,Alice in Wonderland,tt2049386,Alice in Wonderland,99.0,"Fantasy,Musical",6.5,6.0,en,Alice in Wonderland,2010-01-01,Fantasy,Musical,,"Mar 5, 2010","$334,191,110","$1,025,491,110",200000000.0
2010,All Good Things,tt1175709,All Good Things,101.0,"Crime,Drama,Mystery",6.3,49684.0,en,All Good Things,2010-12-03,Crime,Drama,Mystery,"Dec 3, 2010","$582,024","$873,617",60000000.0
2010,Anderson's Cross,tt0393049,Anderson's Cross,98.0,"Comedy,Drama,Romance",5.5,106.0,en,Anderson's Cross,2010-05-20,Comedy,Drama,Romance,"Dec 31, 2010",$0,$0,"$300,000"
2010,Animal Kingdom,tt1313092,Animal Kingdom,113.0,"Crime,Drama",7.3,51576.0,en,Animal Kingdom,2010-08-13,Crime,Drama,,"Aug 13, 2010","$1,044,039","$8,078,683",5000000.0
2010,Another Year,tt1431181,Another Year,129.0,"Comedy,Drama",7.3,26273.0,en,Another Year,2010-12-29,Comedy,Drama,,"Dec 29, 2010","$3,205,706","$20,005,613",8000000.0
2010,Barry Munday,tt0482461,Barry Munday,95.0,"Comedy,Drama,Romance",5.9,3846.0,en,Barry Munday,2010-03-13,Comedy,Drama,Romance,"Oct 1, 2010",$0,$0,"$3,000,000"
2010,Black Swan,tt0947798,Black Swan,108.0,"Drama,Thriller",8.0,648854.0,en,Black Swan,2010-12-03,Drama,Thriller,,"Dec 3, 2010","$106,954,678","$331,266,710",13000000.0
2010,Blood Done Sign My Name,tt1210039,Blood Done Sign My Name,128.0,Drama,6.6,494.0,en,Blood Done Sign My Name,2010-02-01,Drama,,,"Feb 19, 2010","$109,383","$109,383","$10,000,000"
2010,Blue Valentine,tt1120985,Blue Valentine,112.0,"Drama,Romance",7.4,170089.0,en,Blue Valentine,2010-12-29,Drama,Romance,,"Dec 29, 2010","$9,737,892","$16,566,240",1000000.0
